Code	Code	weed.ab	weed	field	farm			
TR6B-F_S208_L001	TR6B-F_S208_L001	TR	Trifolium repens	6	organic		TR6B-F_S208_L001_R1.fastq	TR6B-F_S208_L001_R2.fastq
TR7B-F_S198_L001	TR7B-F_S198_L001	TR	Trifolium repens	7	organic		TR7B-F_S198_L001_R1.fastq	TR7B-F_S198_L001_R2.fastq
TR8B-F_S200_L001	TR8B-F_S200_L001	TR	Trifolium repens	8	organic		TR8B-F_S200_L001_R1.fastq	TR8B-F_S200_L001_R2.fastq
TR9B-F_S210_L001	TR9B-F_S210_L001	TR	Trifolium repens	9	organic		TR9B-F_S210_L001_R1.fastq	TR9B-F_S210_L001_R2.fastq
TR13B-F_S202_L001	TR13B-F_S202_L001	TR	Trifolium repens	13	organic		TR13B-F_S202_L001_R1.fastq	TR13B-F_S202_L001_R2.fastq
TR14B-F_S206_L001	TR14B-F_S206_L001	TR	Trifolium repens	14	organic		TR14B-F_S206_L001_R1.fastq	TR14B-F_S206_L001_R2.fastq
VE1B-F_S302_L001	VE1B-F_S302_L001	VE	Veronica persica	1	organic		VE1B-F_S302_L001_R1.fastq	VE1B-F_S302_L001_R2.fastq
VE2B-F_S299_L001	VE2B-F_S299_L001	VE	Veronica persica	2	organic		VE2B-F_S299_L001_R1.fastq	VE2B-F_S299_L001_R2.fastq
VE4B-F_S304_L001	VE4B-F_S304_L001	VE	Veronica persica	4	organic		VE4B-F_S304_L001_R1.fastq	VE4B-F_S304_L001_R2.fastq
VE5B-F_S295_L001	VE5B-F_S295_L001	VE	Veronica persica	5	organic		VE5B-F_S295_L001_R1.fastq	VE5B-F_S295_L001_R2.fastq
VE8B-F_S300_L001	VE8B-F_S300_L001	VE	Veronica persica	8	organic		VE8B-F_S300_L001_R1.fastq	VE8B-F_S300_L001_R2.fastq
VE9B-F_S298_L001	VE9B-F_S298_L001	VE	Veronica persica	9	organic		VE9B-F_S298_L001_R1.fastq	VE9B-F_S298_L001_R2.fastq
VE13B-F_S306_L001	VE13B-F_S306_L001	VE	Veronica persica	13	organic		VE13B-F_S306_L001_R1.fastq	VE13B-F_S306_L001_R2.fastq
VS1B-F_S234_L001	VS1B-F_S234_L001	VS	Vicia sativa	1	organic		VS1B-F_S234_L001_R1.fastq	VS1B-F_S234_L001_R2.fastq
VS3B-F_S240_L001	VS3B-F_S240_L001	VS	Vicia sativa	3	organic		VS3B-F_S240_L001_R1.fastq	VS3B-F_S240_L001_R2.fastq
VS4B-F_S223_L001	VS4B-F_S223_L001	VS	Vicia sativa	4	organic		VS4B-F_S223_L001_R1.fastq	VS4B-F_S223_L001_R2.fastq
VS5B-F_S225_L001	VS5B-F_S225_L001	VS	Vicia sativa	5	organic		VS5B-F_S225_L001_R1.fastq	VS5B-F_S225_L001_R2.fastq
VS6B-F_S232_L001	VS6B-F_S232_L001	VS	Vicia sativa	6	organic		VS6B-F_S232_L001_R1.fastq	VS6B-F_S232_L001_R2.fastq
VS7B-F_S230_L001	VS7B-F_S230_L001	VS	Vicia sativa	7	organic		VS7B-F_S230_L001_R1.fastq	VS7B-F_S230_L001_R2.fastq
VS8B-F_S238_L001	VS8B-F_S238_L001	VS	Vicia sativa	8	organic		VS8B-F_S238_L001_R1.fastq	VS8B-F_S238_L001_R2.fastq
VS9B-F_S236_L001	VS9B-F_S236_L001	VS	Vicia sativa	9	organic		VS9B-F_S236_L001_R1.fastq	VS9B-F_S236_L001_R2.fastq
VS13B-F_S229_L001	VS13B-F_S229_L001	VS	Vicia sativa	13	organic		VS13B-F_S229_L001_R1.fastq	VS13B-F_S229_L001_R2.fastq
VS14B-F_S227_L001	VS14B-F_S227_L001	VS	Vicia sativa	14	organic		VS14B-F_S227_L001_R1.fastq	VS14B-F_S227_L001_R2.fastq
