Code	Cluster_5	Cluster_7	Cluster_18	Cluster_29	Cluster_31	Cluster_47	Cluster_66	Cluster_67	Cluster_69	Cluster_101	Cluster_139	Cluster_186	Cluster_196	Cluster_292	Cluster_306	Cluster_307	Cluster_313	Cluster_314	Cluster_316	Cluster_332	Cluster_337	Cluster_360	Cluster_375	Cluster_385	Cluster_405	Cluster_420	Cluster_488	Cluster_528	Cluster_564	Cluster_707	Cluster_828	Cluster_2	Cluster_9	Cluster_54	Cluster_58	Cluster_113	Cluster_154	Cluster_168	Cluster_180	Cluster_233	Cluster_283	Cluster_298	Cluster_350	Cluster_390	Cluster_396	Cluster_408	Cluster_410	Cluster_622	Cluster_722	Cluster_296	Cluster_311	Cluster_440	Cluster_72	Cluster_258	Cluster_482	Cluster_527	Cluster_70	Cluster_128	Cluster_129	Cluster_276	Cluster_733	Cluster_53	Cluster_90	Cluster_209	Cluster_27	Cluster_140	Cluster_325	Cluster_456	Cluster_19	Cluster_73	Cluster_79	Cluster_81	Cluster_85	Cluster_127	Cluster_131	Cluster_163	Cluster_181	Cluster_198	Cluster_268	Cluster_269	Cluster_320	Cluster_377	Cluster_469	Cluster_490	Cluster_687	Cluster_4	Cluster_10	Cluster_45	Cluster_57	Cluster_84	Cluster_89	Cluster_110	Cluster_114	Cluster_138	Cluster_141	Cluster_144	Cluster_171	Cluster_201	Cluster_212	Cluster_217	Cluster_238	Cluster_252	Cluster_259	Cluster_285	Cluster_287	Cluster_340	Cluster_353	Cluster_379	Cluster_391	Cluster_433	Cluster_439	Cluster_442	Cluster_466	Cluster_481	Cluster_504	Cluster_579	Cluster_719	Cluster_611	Cluster_322	Cluster_22	Cluster_374	Cluster_1	Cluster_20	Cluster_48	Cluster_49	Cluster_60	Cluster_74	Cluster_107	Cluster_108	Cluster_112	Cluster_117	Cluster_120	Cluster_137	Cluster_177	Cluster_187	Cluster_193	Cluster_224	Cluster_271	Cluster_272	Cluster_273	Cluster_295	Cluster_299	Cluster_335	Cluster_347	Cluster_356	Cluster_389	Cluster_392	Cluster_393	Cluster_402	Cluster_409	Cluster_426	Cluster_437	Cluster_448	Cluster_468	Cluster_485	Cluster_557	Cluster_736	Cluster_774	Cluster_815	Cluster_50	Cluster_149	Cluster_167	Cluster_229	Cluster_82	Cluster_95	Cluster_135	Cluster_200	Cluster_215	Cluster_226	Cluster_280	Cluster_363	Cluster_413	Cluster_431	Cluster_16	Cluster_26	Cluster_34	Cluster_46	Cluster_68	Cluster_94	Cluster_152	Cluster_155	Cluster_156	Cluster_185	Cluster_210	Cluster_236	Cluster_239	Cluster_260	Cluster_267	Cluster_279	Cluster_282	Cluster_300	Cluster_317	Cluster_330	Cluster_331	Cluster_354	Cluster_365	Cluster_427	Cluster_464	Cluster_473	Cluster_513	Cluster_625	Cluster_28	Cluster_38	Cluster_134	Cluster_136	Cluster_160	Cluster_190	Cluster_234	Cluster_366	Cluster_401	Cluster_24	Cluster_76	Cluster_122	Cluster_158	Cluster_162	Cluster_178	Cluster_222	Cluster_243	Cluster_358	Cluster_480	Cluster_500	Cluster_901	Cluster_174	Cluster_221	Cluster_580	Cluster_62	Cluster_71	Cluster_88	Cluster_151	Cluster_184	Cluster_199	Cluster_223	Cluster_225	Cluster_237	Cluster_250	Cluster_302	Cluster_304	Cluster_371	Cluster_430	Cluster_462	Cluster_607	Cluster_794	Cluster_115	Cluster_150	Cluster_179	Cluster_218	Cluster_251	Cluster_253	Cluster_254	Cluster_336	Cluster_406	Cluster_438	Cluster_42	Cluster_64	Cluster_87	Cluster_125	Cluster_145	Cluster_203	Cluster_214	Cluster_232	Cluster_286	Cluster_288	Cluster_291	Cluster_345	Cluster_369	Cluster_411	Cluster_453	Cluster_467	Cluster_552	Cluster_257	Cluster_36	Cluster_86	Cluster_99	Cluster_142	Cluster_211	Cluster_334	Cluster_362	Cluster_383	Cluster_425	Cluster_688	Cluster_820	Cluster_911	Cluster_8	Cluster_59	Cluster_75	Cluster_172	Cluster_182	Cluster_281	Cluster_344	Cluster_638	Cluster_380	Cluster_465	Cluster_23	Cluster_173	Cluster_227	Cluster_80	Cluster_202	Cluster_3	Cluster_11	Cluster_12	Cluster_30	Cluster_33	Cluster_40	Cluster_56	Cluster_61	Cluster_65	Cluster_100	Cluster_102	Cluster_103	Cluster_104	Cluster_119	Cluster_146	Cluster_148	Cluster_166	Cluster_189	Cluster_191	Cluster_197	Cluster_213	Cluster_228	Cluster_231	Cluster_240	Cluster_249	Cluster_263	Cluster_265	Cluster_266	Cluster_270	Cluster_293	Cluster_294	Cluster_301	Cluster_305	Cluster_342	Cluster_346	Cluster_348	Cluster_373	Cluster_388	Cluster_397	Cluster_419	Cluster_428	Cluster_432	Cluster_441	Cluster_449	Cluster_460	Cluster_474	Cluster_487	Cluster_531	Cluster_537	Cluster_541	Cluster_586	Cluster_648	Cluster_713	Cluster_753	Cluster_821	Cluster_118	Cluster_310	Cluster_447	Cluster_470
LP8B-F_S217_L001	1662	71	0	17	0	0	84	68	14	72	1	0	11	2	0	0	37	0	0	0	0	1	0	1	18	0	0	14	0	6	1	358	22	0	36	0	11	37	20	0	1	0	5	0	1	0	0	0	6	0	0	0	0	1	3	0	0	5	19	1	0	8	0	0	35	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0	121	6	26	2	19	3	0	0	1	0	0	2	1	1	1	0	3	1	0	1	0	0	0	1	0	3	1	0	0	0	1	0	1	0	7	0	1996	193	31	70	721	0	5	5	2	4	7	33	0	0	3	3	0	0	0	0	0	0	1	0	0	0	0	46	0	0	0	1	0	0	0	1	0	0	6	2	0	0	5	0	1	0	0	0	0	0	0	0	113	0	12	9	0	0	0	0	10	0	0	0	0	0	0	0	0	4	0	1	2	0	2	0	0	2	1	0	21	82	0	2	0	4	0	4	0	5	5	9	6	0	3	0	0	0	3	0	1	0	4	1	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	3	0	0	0	0	1	2	0	0	0	0	0	0	0	2	4	11	3	3	3	0	5	0	0	0	0	0	2	3	24	0	0	0	1	0	1	0	72	0	4	0	0	277	291	743	31	0	7	30	17	6	61	27	0	13	1	29	10	23	0	0	0	14	15	0	0	1	0	0	10	1	0	0	0	0	0	0	6	0	0	0	0	0	15	0	0	8	2	0	2	1	0	1	0	2	11	1	0	16	0	0
LP9B-F_S219_L001	663	22	47	20	257	0	81	2	4	3	0	17	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	2	123	8	3	79	0	1	6	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	4	0	1	0	0	0	4	3	0	0	141	1	0	5	0	0	0	0	0	0	0	2	6	0	0	0	1	62	85	21	0	0	0	0	0	11	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	4	1	5825	7	43	1	1	3	4	0	4	2	1	5	9	3	0	1	11	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	22	5	3	0	31	0	0	0	0	0	2	0	0	0	3	0	13	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	71	3	0	3	0	0	0	0	0	90	7	13	0	6	2	15	4	2	9	4	2	0	11	0	0	0	4	4	2	0	5	0	0	0	0	0	0	0	0	0	3	0	1	0	22	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	3	0	0	0	1	5	43	0	0	0	0	0	0	0	0	0	0	2	2	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LP13B-F_S215_L001	189	16	12	344	26	45	7	0	7	1	2	0	12	1	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	1	3586	33	20	4	0	53	4	17	0	0	0	0	0	2	0	0	1	3	2	0	0	0	0	0	0	57	1	2	0	0	148	13	0	24	4	2	1	18	1	0	3	46	0	0	0	0	0	0	0	0	0	0	0	0	280	39	10	0	1	0	0	2	2	0	0	0	0	2	0	0	7	5	0	0	0	5	0	0	0	1	1	0	0	0	0	0	0	0	28	2	1248	0	20	16	1	0	0	0	1	2	0	0	0	0	3	0	1	0	0	1	0	0	3	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	34	10	0	0	8	0	0	2	0	0	2	0	0	0	0	0	79	0	0	0	0	0	0	7	0	0	0	0	3	3	0	3	0	0	0	1	0	0	0	0	1	0	71	1	5	7	0	0	0	0	0	240	7	1	1	20	0	7	0	2	1	3	0	0	10	4	42	0	0	2	4	0	0	0	0	0	0	0	20	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	3	3	16	7	5	0	0	0	0	0	0	39	0	0	0	0	12	3	5	11	0	0	0	0	0	1	0	0	1	9	0	3	1	0	0	0	0	0	240	0	2	0	0	114	55	439	7	32	0	0	0	0	0	5	3	3	13	14	2	11	2	0	5	0	5	0	8	2	0	0	0	0	0	0	0	1	0	1	0	0	3	0	0	0	0	21	0	1	0	0	4	0	0	0	0	0	0	0	0	9	0	0
LP14B-F_S222_L001	382	260	1015	25	11	0	12	0	33	12	2	1	6	1	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	2	0	487	69	29	12	0	6	7	1	0	0	0	1	0	1	0	0	0	0	13	0	2	0	0	0	1	0	1	12	0	1	41	70	0	37	1	1	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	414	59	0	2	5	2	0	0	1	0	1	0	0	0	0	0	0	4	0	6	0	0	5	0	0	0	0	0	0	0	0	0	0	0	6	0	2614	107	25	43	6	0	2	0	9	3	1	5	1	7	1	1	2	0	0	0	0	0	0	0	1	11	0	0	0	0	4	1	0	1	0	0	1	1	12	5	0	23	23	0	0	0	0	1	1	0	0	0	9	95	114	14	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	4	2	0	0	1	0	17	87	0	0	0	3	0	2	0	186	7	4	0	4	1	4	0	4	0	2	1	1	1	0	170	0	82	0	16	3	0	30	0	0	0	0	0	0	1	0	0	0	28	0	19	0	0	0	0	0	0	2	17	0	2	36	0	1	0	1	0	4	15	0	7	0	0	0	12	0	60	73	0	4	0	9	0	0	1	0	0	2	8	15	0	0	0	0	0	0	0	50	2	1	0	0	115	206	438	26	3	23	31	0	0	0	6	0	3	0	7	1	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	7	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0
MAT1B-F_S213_L001	214	16	17	10	64	15	10	0	4	2	0	0	5	0	0	0	0	0	0	1	2	1	0	0	0	1	0	2	0	0	2	18	0	0	13	0	0	8	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	8	0	7	27	1	0	0	100	0	0	7	0	0	0	225	1	0	0	0	0	4	0	0	2	0	12	0	0	0	0	0	119	1072	11	0	2	0	1	4	27	0	0	0	6	0	0	1	0	0	0	2	3	0	0	0	5	0	0	1	0	9	0	0	0	0	8	0	1904	7	80	1	0	0	2	4	0	1	0	0	29	0	0	0	2	1	0	2	0	4	0	9	4	1	0	0	18	0	0	2	3	0	5	0	0	6	4	0	1	0	4	0	3	1	0	0	0	0	0	10	1	0	11	201	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	1	13	116	0	0	0	3	0	5	0	152	11	5	0	0	0	6	0	6	0	3	1	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	8	0	3	0	0	2	0	0	0	0	0	0	0	0	421	123	2	0	7	10	0	0	4	0	4	0	59	230	137	51	37	0	4	3	5	16	8	0	6	0	0	506	648	182	602	32	1	1	9	0	0	34	0	20	1	4	10	7	52	0	1	0	2	0	15	19	0	0	0	0	0	0	0	0	0	0	6	0	33	36	0	0	0	0	0	0	0	0	2	3	0	0	17	2	0	2	0	8	0	0
MAT3B-F_S211_L001	81	106	30	12	3	1	2	1	8	6	19	0	0	1	0	0	2	2	0	0	2	0	5	0	0	3	14	9	0	0	0	106	269	6	19	0	2	3	0	0	1	0	0	0	12	1	0	0	1	2	0	0	8	0	1	0	33	26	6	0	1	19	1	0	50	3	0	3	0	14	223	266	94	0	256	0	0	0	0	0	0	0	0	0	0	206	115	1	233	5	1	0	1	4	0	4	0	5	0	2	0	0	2	7	4	0	0	0	12	2	0	0	0	0	1	1	0	0	0	11	1	2067	2	87	17	15	0	1	2	0	3	1	1	1	1	5	0	12	0	1	0	0	1	5	0	4	0	0	0	2	3	0	3	2	3	1	2	0	1	12	1	0	0	29	0	0	7	0	0	1	0	0	0	0	1	15	4	0	0	0	1	0	0	0	0	0	25	0	1	0	0	0	0	1	1	2	0	0	0	2	0	38	42	0	1	0	1	0	1	0	663	3	0	0	0	0	36	0	31	0	12	1	0	1	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	11	2	1	125	0	0	0	0	0	0	0	0	1	0	0	2	1	4	0	7	0	0	0	0	0	19	16	7	0	0	1	3	6	0	0	0	0	68	13	15	0	6	3	3	0	0	0	13	2	7	0	0	550	648	119	5	36	21	56	477	2	65	52	1	36	9	9	20	5	0	0	4	15	3	1	0	0	0	7	0	0	0	0	0	2	0	0	5	86	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	4	0	0
MAT5B-F_S199_L001	44	48	84	4	0	2	3	2	0	1	2	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	135	27	2	3	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1474	0	0	0	2	19	3	0	1	15	0	0	4	0	1	0	78	0	0	0	0	0	0	0	0	1	0	2	2	0	0	0	0	68	190	0	1	0	6	0	6	8	0	1	0	1	0	0	0	0	5	7	0	0	0	0	0	1	0	1	0	0	4	0	0	1	0	11	1	4096	2	70	12	0	0	2	0	2	10	1	1	6	3	0	1	15	0	0	0	0	0	1	1	10	1	0	0	1	0	0	2	2	20	3	1	0	0	6	4	0	0	24	0	0	1	0	1	0	0	0	0	3	0	2	4	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	5	0	0	0	0	0	0	0	353	1	0	0	3	0	32	5	7	0	16	3	3	4	0	3	1	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	2	0	0	0	0	0	0	0	0	1	0	0	0	8	0	0	0	0	0	0	0	0	5	0	0	18	0	19	0	0	0	0	0	4	4	0	1	0	56	4	0	10	0	0	0	2	0	14	2	0	0	0	226	468	48	33	5	0	8	0	1	0	56	3	29	2	3	18	2	0	0	0	0	0	0	0	2	0	4	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	2	0	0	1	0	2	0	0
MAT6B-F_S209_L001	248	31	0	5	0	0	4	5	6	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	3	1	0	11	0	0	0	212	22	0	0	0	22	16	0	0	0	0	0	0	2	0	0	0	4	0	0	0	6	0	1	1	4	7	2	0	0	9	0	0	103	0	1	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	7	1	2	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	29	20	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	5	0	3	0	5	1	0	0	0	0	0	2	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	1	0	9	11	1	0	0	0	0	1	0	19	4	0	0	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	13	0	0	0	0	1	0	0	3	41	0	0	0	1	0	0	0	2	8	28	6	2	21	0	6	0	1	0	9	0	1210	5	0	17	22	6	52	33	0	0	2	0	31	0	0	3047	275	76	138	443	167	110	0	638	0	15	1	15	0	1	7	1	0	41	0	0	0	23	0	1	11	0	15	4	0	0	0	1	90	0	4	0	0	0	19	57	0	0	6	0	0	0	8	0	5	10	23	0	0	0	93	1	0	0
MAT7B-F_S207_L001	49	8	0	9	0	0	1	0	1	2	1	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	1	49	0	0	73	61	1	2	0	2	2	0	0	0	0	1	0	13	0	0	0	0	0	0	0	1	0	0	3	1	5	6	0	0	22	0	0	12	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	7	63	0	3	0	3	0	1	0	0	0	0	0	0	0	0	4	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5876	69	247	51	39	2	0	0	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0	2	4	0	0	0	0	0	0	3	0	0	0	2	0	1	0	0	1	7	2	0	3	0	0	0	0	0	3	0	0	0	0	1	1	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	25	36	1	0	0	1	0	4	1	37	2	0	1	0	1	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	11	0	3	0	19	2	1	0	0	0	0	1	1	0	42	13	12	1	5	0	2	1	0	0	11	0	1	0	0	318	63	75	12	89	57	56	0	257	14	4	0	5	4	0	15	1	0	0	0	3	3	0	4	0	0	0	0	0	0	0	7	0	0	3	3	0	7	0	0	13	0	0	0	0	0	0	0	0	1	4	4	2	0	0	0	0	0	0
MAT8B-F_S216_L001	604	104	4	4	11	13	19	5	3	26	2	2	4	2	0	0	15	0	0	1	0	19	13	1	8	0	6	8	0	4	0	55	5	12	25	0	3	16	2	0	2	0	1	0	0	13	0	0	0	0	0	0	0	0	1	0	2	29	57	0	0	9	0	0	30	1	2	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	3	0	114	4	0	0	36	11	37	0	0	0	1	2	0	0	1	0	0	0	0	4	0	0	0	0	0	24	0	0	0	0	1	0	1	0	0	0	3115	126	79	80	132	0	6	3	1	6	4	7	0	4	13	1	0	0	1	0	0	8	0	4	1	0	0	14	0	0	0	5	1	0	3	9	0	3	0	0	0	0	16	0	0	0	0	0	0	0	0	0	22	0	0	9	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	11	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	896	0	0	0	0	0	0	0	0	0	0	0	0	0	35	53	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	6	16	53	3	13	15	21	3	3	0	1	1	0	0	73	33	81	0	13	2	0	5	4	0	11	0	22	0	0	664	61	105	5	22	64	116	144	255	63	27	0	36	6	5	11	5	0	0	0	10	2	0	0	1	0	1	1	6	0	0	0	1	0	0	3	0	0	0	0	7	7	0	3	3	0	0	0	0	0	3	2	0	1	0	0	3	0	0
MAT9B-F_S214_L001	56	9	0	42	0	26	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	91	8	9	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	6	1	0	0	0	76	0	0	14	0	0	0	3136	0	0	1	0	0	0	0	0	0	0	83	6	0	0	0	0	91	12	11	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	10	0	1010	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	14	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	7	0	0	0	0	0	8	4	0	0	1	0	0	4	1	1	0	0	0	0	0	21	44	0	0	2	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	9	86	9	15	5	2	0	0	0	3	0	2	0	0	703	12	1	5	0	2	2	0	0	11	0	0	0	0	428	579	36	778	327	120	0	1	0	0	13	0	3	6	0	4	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	7	0	0	0	0	0	0	0
MAT13B-F_S205_L001	206	222	38	26	17	592	7	0	0	7	4	0	0	0	0	0	0	1	0	13	0	5	1	0	1	5	0	2	1	1	0	301	108	0	18	0	13	5	2	0	0	0	1	0	0	0	0	0	2	0	0	5	0	0	1	10	2	20	12	0	0	396	5	0	21	0	0	1	26	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	261	55	26	10	2	4	4	23	2	0	0	3	0	0	0	0	19	4	0	9	0	1	50	0	0	2	1	0	0	0	0	3	0	0	12	0	2135	35	67	18	3	4	7	0	1	6	0	3	2	0	1	0	0	0	0	0	1	0	2	3	1	1	0	0	1	1	0	1	3	0	0	0	0	0	46	4	0	0	27	0	6	3	0	2	1	0	0	22	11	2	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	59	1	4	9	0	0	1	0	0	93	26	16	2	0	0	4	0	6	0	1	0	29	0	1	0	0	0	0	1	48	4	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	9	0	0	0	7	0	0	0	0	0	0	0	0	8	57	6	1	0	0	1	0	0	1	0	0	0	1	31	0	11	1	1	2	0	0	0	45	4	3	42	29	691	274	223	36	739	17	0	1	269	0	19	13	23	11	7	9	5	30	0	0	0	4	0	12	0	0	3	0	0	0	0	26	18	0	18	2	0	7	0	1	10	0	0	0	0	5	0	4	0	4	0	10	1	1	2	0	0	0	0
MAT14B-F_S201_L001	65	74	25	5	5	0	1	10	0	1	2	0	2	0	0	0	0	0	0	1	0	0	0	0	2	0	0	2	0	0	0	103	51	11	0	0	4	4	0	0	0	0	0	0	2	0	0	0	2	0	0	1	22	0	0	2	0	26	0	0	0	61	5	0	31	0	0	0	15	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	107	7	0	5	0	18	0	0	0	6	0	0	0	0	0	0	0	17	0	5	0	0	0	0	0	0	0	0	0	2	0	0	0	0	8	0	940	10	43	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	3	0	0	1	3	0	0	1	5	0	2	0	0	2	0	0	0	3	1	0	0	5	0	2	3	0	0	0	0	0	0	15	7	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	7	4	1	2	0	0	0	0	0	17	2	0	0	0	0	0	0	4	1	0	0	1	0	0	2	0	3	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	5	0	0	0	2	61	10	15	0	3	0	2	0	0	1	0	0	99	111	49	10	3	1	14	4	0	1	7	0	4	0	2	3533	761	156	198	67	42	32	16	5	599	39	0	29	0	3	20	1	5	0	0	135	0	0	0	4	1	3	18	0	144	0	5	0	0	0	10	0	0	0	0	0	0	0	1	2	0	7	4	0	0	5	1	2	0	0	0	52	0	0
PA3B-F_S182_L001	895	95	0	26	1	0	18	0	147	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	11	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	882	1	0	0	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	5541	0	110	0	0	0	2	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	8	3	1	214	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PA4B-F_S175_L001	459	12	15	31	55	5	4	10	3	0	5	0	2	0	0	0	0	3	0	0	0	2	0	0	0	2	0	0	0	1	0	174	299	2	6	12	5	27	1	0	2	1	0	0	17	0	0	1	0	0	0	0	27	0	0	0	7	1	0	0	0	100	13	0	7	0	0	0	56	10	0	0	0	0	0	0	0	5	4	4	0	0	0	0	0	33	9	10	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	23	0	489	10	13	1	0	0	0	3	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2640	31	10	0	7	0	0	0	0	0	6	0	0	0	316	70	39	52	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	1	4	0	149	49	0	4	0	0	0	1	0	10	967	1	0	0	4	2	0	1	7	0	0	13	8	5	37	0	0	27	3	0	0	0	2	4	104	0	0	0	0	0	0	33	1	0	0	0	0	0	0	0	5	1	263	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	2	1	3	0	0	0	0	0	0	946	2	0	0	0	91	71	31	32	0	0	0	0	2	0	1	2	2	2	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0
