name	phylum	class	order	family	genus	species
Cluster_234	Basidiomycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_236	Basidiomycota	undefined	Agaricomycetes	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_237	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	undefined	undefined
Cluster_238	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Ophiocordyceps
Cluster_239	Basidiomycota	undefined	Agaricomycetes	Auriculariales	Auriculariaceae	Auricularia
Cluster_24	Basidiomycota	undefined	Tremellomycetes	Cystofilobasidiales	undefined	Multi-affiliation
Cluster_240	Zygomycota	Mucoromycotina	undefined	undefined	undefined	undefined
Cluster_243	Basidiomycota	undefined	Tremellomycetes	Cystofilobasidiales	Multi-affiliation	Multi-affiliation
Cluster_249	Zygomycota	Mucoromycotina	undefined	undefined	undefined	undefined
Cluster_250	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	Spizellomycetaceae	Rhizophlyctis
Cluster_251	Chytridiomycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_252	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Ophiocordyceps
Cluster_253	Chytridiomycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_254	Chytridiomycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_257	Glomeromycota	undefined	Archaeosporomycetes	Archaeosporales	undefined	undefined
Cluster_258	Ascomycota	Pezizomycotina	Lecanoromycetes	Baeomycetales	Baeomycetaceae	Baeomyces
Cluster_259	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium
Cluster_26	Basidiomycota	undefined	Agaricomycetes	Auriculariales	Multi-affiliation	Multi-affiliation
Cluster_260	Basidiomycota	undefined	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Waitea
Cluster_263	Zygomycota	Mucoromycotina	undefined	undefined	undefined	undefined
Cluster_265	Zygomycota	Mucoromycotina	undefined	undefined	undefined	undefined
Cluster_266	Zygomycota	Mucoromycotina	undefined	undefined	undefined	undefined
Cluster_267	Basidiomycota	undefined	Agaricomycetes	Auriculariales	undefined	undefined
Cluster_268	Ascomycota	Pezizomycotina	Pezizomycetes	Pezizales	Pyronemataceae	Multi-affiliation
Cluster_269	Ascomycota	Pezizomycotina	Pezizomycetes	Pezizales	Pyronemataceae	Geopyxis
Cluster_27	Ascomycota	Pezizomycotina	Orbiliomycetes	Orbiliales	Orbiliaceae	Multi-affiliation
Cluster_270	Zygomycota	Mucoromycotina	undefined	undefined	undefined	undefined
Cluster_271	Ascomycota	undefined	undefined	undefined	undefined	Tetracladium
Cluster_272	Ascomycota	undefined	undefined	undefined	undefined	Tetracladium
Cluster_273	Ascomycota	undefined	undefined	undefined	undefined	Tetracladium
Cluster_276	Ascomycota	Pezizomycotina	Leotiomycetes	Helotiales	Leotiaceae	Neobulgaria
Cluster_279	Basidiomycota	undefined	Agaricomycetes	Agaricales	Cyphellaceae	Limnoperdon
Cluster_28	Basidiomycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_280	Basidiomycota	Pucciniomycotina	undefined	Erythrobasidiales	undefined	Multi-affiliation
Cluster_281	Glomeromycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_282	Basidiomycota	undefined	Agaricomycetes	Agaricales	Multi-affiliation	Multi-affiliation
Cluster_283	Ascomycota	Pezizomycotina	Dothideomycetes	Capnodiales	undefined	Ramichloridium
Cluster_285	Ascomycota	Pezizomycotina	Sordariomycetes	Magnaporthales	Magnaporthaceae	Gaeumannomyces
Cluster_286	Chytridiomycota	undefined	undefined	undefined	undefined	undefined
Cluster_287	Ascomycota	Pezizomycotina	Sordariomycetes	Magnaporthales	Magnaporthaceae	Phialophora
Cluster_288	Chytridiomycota	undefined	undefined	undefined	undefined	undefined
Cluster_29	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_291	Chytridiomycota	undefined	undefined	undefined	undefined	undefined
Cluster_292	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_293	Zygomycota	Mucoromycotina	undefined	undefined	undefined	undefined
Cluster_294	Zygomycota	Mucoromycotina	undefined	Endogonales	Endogonaceae	Endogone
Cluster_295	Ascomycota	undefined	undefined	undefined	undefined	Tetracladium
Cluster_296	Ascomycota	Pezizomycotina	Eurotiomycetes	Onygenales	Onygenaceae	Auxarthron
Cluster_298	Ascomycota	Pezizomycotina	Dothideomycetes	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_299	Ascomycota	undefined	undefined	undefined	undefined	undefined
Cluster_3	Zygomycota	Mucoromycotina	undefined	undefined	undefined	undefined
Cluster_30	Zygomycota	Mucoromycotina	undefined	undefined	undefined	undefined
Cluster_300	Basidiomycota	undefined	Agaricomycetes	Auriculariales	undefined	undefined
Cluster_301	Zygomycota	Mucoromycotina	undefined	undefined	undefined	undefined
Cluster_302	Chytridiomycota	undefined	Chytridiomycetes	Chytridiales	Megachytriaceae	Nowakowskiella
Cluster_304	Chytridiomycota	undefined	Chytridiomycetes	Chytridiales	Megachytriaceae	Nowakowskiella
Cluster_305	Zygomycota	Mucoromycotina	undefined	undefined	undefined	undefined
Cluster_306	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_307	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_31	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_310	Zygomycota	Zoopagomycotina	undefined	Zoopagales	Piptocephalidaceae	Syncephalis
Cluster_311	Ascomycota	Pezizomycotina	Eurotiomycetes	Onygenales	Arachnomycetaceae	Arachnomyces
Cluster_313	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_314	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_316	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_317	Basidiomycota	undefined	Agaricomycetes	Agaricales	Tricholomataceae	Lachnella
Cluster_320	Ascomycota	Pezizomycotina	Pezizomycetes	Pezizales	Multi-affiliation	Multi-affiliation
Cluster_322	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	undefined	Candida
Cluster_325	Ascomycota	Pezizomycotina	Orbiliomycetes	Orbiliales	Orbiliaceae	Multi-affiliation
Cluster_33	Zygomycota	Mucoromycotina	undefined	undefined	undefined	undefined
Cluster_330	Basidiomycota	undefined	Agaricomycetes	Boletales	undefined	undefined
Cluster_331	Basidiomycota	undefined	Agaricomycetes	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_332	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_334	Glomeromycota	undefined	Glomeromycetes	Glomerales	Glomeraceae	Multi-affiliation
Cluster_335	Ascomycota	undefined	undefined	undefined	undefined	Tetracladium
Cluster_336	Chytridiomycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_337	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_34	Basidiomycota	undefined	Agaricomycetes	Auriculariales	undefined	undefined
Cluster_340	Ascomycota	Pezizomycotina	Sordariomycetes	Microascales	undefined	Ceratocystis
Cluster_342	Zygomycota	Mucoromycotina	undefined	undefined	undefined	undefined
Cluster_344	Glomeromycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_345	Chytridiomycota	undefined	undefined	undefined	undefined	undefined
Cluster_346	Zygomycota	Mucoromycotina	undefined	undefined	undefined	undefined
Cluster_347	Ascomycota	undefined	undefined	undefined	undefined	Tetracladium
Cluster_348	Zygomycota	Mucoromycotina	undefined	Mortierellales	Mortierellaceae	Mortierella
Cluster_350	Ascomycota	Pezizomycotina	Dothideomycetes	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_353	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Multi-affiliation	Multi-affiliation
