name	phylum	class	order	family	genus	species
Cluster_462	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	Spizellomycetaceae	Rhizophlyctis
Cluster_464	Basidiomycota	undefined	Agaricomycetes	Sebacinales	Sebacinaceae	Piriformospora
Cluster_465	Glomeromycota	undefined	undefined	undefined	undefined	undefined
Cluster_466	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Multi-affiliation	Multi-affiliation
Cluster_467	Chytridiomycota	undefined	undefined	undefined	undefined	undefined
Cluster_468	Ascomycota	undefined	undefined	undefined	undefined	Tetracladium
Cluster_469	Ascomycota	Pezizomycotina	Pezizomycetes	Pezizales	Ascobolaceae	Ascobolus
Cluster_47	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_470	Zygomycota	Zoopagomycotina	undefined	Zoopagales	Cochlonemataceae	Cochlonema
Cluster_473	Basidiomycota	undefined	Agaricomycetes	Agaricales	Tricholomataceae	Camarophyllus
Cluster_474	Zygomycota	Mucoromycotina	undefined	Mucorales	Mucoraceae	Absidia
Cluster_48	Ascomycota	undefined	undefined	undefined	undefined	Tetracladium
Cluster_480	Basidiomycota	undefined	Tremellomycetes	Tremellales	undefined	Cryptococcus
Cluster_481	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	undefined	Stilbella
Cluster_482	Ascomycota	Pezizomycotina	Lecanoromycetes	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_485	Ascomycota	undefined	undefined	undefined	undefined	undefined
Cluster_487	Zygomycota	Mucoromycotina	undefined	undefined	undefined	undefined
Cluster_488	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_49	Ascomycota	undefined	undefined	undefined	undefined	undefined
Cluster_490	Ascomycota	Pezizomycotina	Pezizomycetes	Pezizales	Caloscyphaceae	Caloscypha
Cluster_5	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_50	Basidiomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_500	Basidiomycota	undefined	Tremellomycetes	Cystofilobasidiales	undefined	Multi-affiliation
Cluster_504	Ascomycota	Pezizomycotina	Sordariomycetes	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_513	Basidiomycota	undefined	Agaricomycetes	Auriculariales	undefined	undefined
Cluster_527	Ascomycota	Pezizomycotina	Lecanoromycetes	undefined	Arctomiaceae	Gregorella
Cluster_528	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_53	Ascomycota	Pezizomycotina	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_531	Zygomycota	Mucoromycotina	undefined	undefined	undefined	undefined
Cluster_537	Zygomycota	Mucoromycotina	undefined	undefined	undefined	undefined
Cluster_54	Ascomycota	Pezizomycotina	Dothideomycetes	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_541	Zygomycota	Mucoromycotina	undefined	undefined	undefined	undefined
Cluster_552	Chytridiomycota	undefined	undefined	undefined	undefined	undefined
Cluster_557	Ascomycota	undefined	undefined	undefined	undefined	Tetracladium
Cluster_56	Zygomycota	Mucoromycotina	undefined	undefined	undefined	undefined
Cluster_564	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_57	Ascomycota	Pezizomycotina	Sordariomycetes	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_579	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Multi-affiliation	Multi-affiliation
Cluster_58	Ascomycota	Pezizomycotina	Dothideomycetes	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_580	Basidiomycota	undefined	undefined	undefined	undefined	undefined
Cluster_586	Zygomycota	Mucoromycotina	undefined	undefined	undefined	undefined
Cluster_59	Glomeromycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_60	Ascomycota	undefined	undefined	undefined	undefined	Coniosporium
Cluster_607	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	Olpidiaceae	Olpidium
Cluster_61	Zygomycota	Mucoromycotina	undefined	undefined	undefined	undefined
Cluster_611	Ascomycota	Pezizomycotina	undefined	Medeolariales	Medeolariaceae	Medeolaria
Cluster_62	Chytridiomycota	undefined	Chytridiomycetes	Rhizophydiales	Rhizophydiaceae	Rhizophydium
Cluster_622	Ascomycota	Pezizomycotina	Dothideomycetes	Capnodiales	undefined	Devriesia
Cluster_625	Basidiomycota	undefined	Agaricomycetes	Sebacinales	Sebacinaceae	Piriformospora
Cluster_638	Glomeromycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_64	Chytridiomycota	undefined	undefined	undefined	undefined	undefined
Cluster_648	Zygomycota	Mucoromycotina	undefined	undefined	undefined	undefined
